order,pc,binary,mode,trap,rd,rd_value,instr,csr,mem_addr,mem_rdata,mem_wdata,mem_rmask,mem_wmask,event
0,0000000080000000,00002417,3,0,x8,0000000080002000,,100:0000000200000000;300:0000000a00000000;301:800000000014112f;b00:000000000000000e;b02:0000000000000001;f13:0000000000000100,,,,,,retire
1,0000000080000004,00040413,3,0,x8,0000000080002000,,b00:000000000000000f;b02:0000000000000002,,,,,,retire
2,0000000080000008,00004295,3,0,x5,0000000000000005,,b00:0000000000000010;b02:0000000000000003,,,,,,retire
3,000000008000000a,00004301,3,0,x6,0000000000000000,,b00:0000000000000011;b02:0000000000000004,,,,,,retire
4,000000008000000c,00009316,3,0,x6,0000000000000005,,b00:0000000000000012;b02:0000000000000005,,,,,,retire
5,000000008000000e,000012fd,3,0,x5,0000000000000004,,b00:0000000000000013;b02:0000000000000006,,,,,,retire
6,0000000080000010,fe029ee3,3,0,,,,b00:0000000000000014;b02:0000000000000007,,,,,,retire
7,000000008000000c,00009316,3,0,x6,0000000000000009,,b00:0000000000000017;b02:0000000000000008,,,,,,retire
8,000000008000000e,000012fd,3,0,x5,0000000000000003,,b00:0000000000000018;b02:0000000000000009,,,,,,retire
9,0000000080000010,fe029ee3,3,0,,,,b00:0000000000000019;b02:000000000000000a,,,,,,retire
10,000000008000000c,00009316,3,0,x6,000000000000000c,,b00:000000000000001c;b02:000000000000000b,,,,,,retire
11,000000008000000e,000012fd,3,0,x5,0000000000000002,,b00:000000000000001d;b02:000000000000000c,,,,,,retire
12,0000000080000010,fe029ee3,3,0,,,,b00:000000000000001e;b02:000000000000000d,,,,,,retire
13,000000008000000c,00009316,3,0,x6,000000000000000e,,b00:0000000000000021;b02:000000000000000e,,,,,,retire
14,000000008000000e,000012fd,3,0,x5,0000000000000001,,b00:0000000000000022;b02:000000000000000f,,,,,,retire
15,0000000080000010,fe029ee3,3,0,,,,b00:0000000000000023;b02:0000000000000010,,,,,,retire
16,000000008000000c,00009316,3,0,x6,000000000000000f,,b00:0000000000000026;b02:0000000000000011,,,,,,retire
17,000000008000000e,000012fd,3,0,x5,0000000000000000,,b00:0000000000000027;b02:0000000000000012,,,,,,retire
18,0000000080000010,fe029ee3,3,0,,,,b00:0000000000000032;b02:0000000000000013,,,,,,retire
19,0000000080000014,00643023,3,0,,,,b00:0000000000000033;b02:0000000000000014,0000000080002000,,000000000000000f,,ff,retire
20,0000000080000018,02a00393,3,0,x7,000000000000002a,,b00:0000000000000034;b02:0000000000000015,,,,,,retire
21,000000008000001c,00028463,3,0,,,,b00:0000000000000035;b02:0000000000000016,,,,,,retire
22,0000000080000024,00743423,3,0,,,,b00:0000000000000038;b02:0000000000000017,0000000080002008,,000000000000002a,,ff,retire
23,0000000080000028,000052fd,3,0,x5,ffffffffffffffff,,b00:0000000000000039;b02:0000000000000018,,,,,,retire
24,000000008000002a,00004305,3,0,x6,0000000000000001,,b00:000000000000003a;b02:0000000000000019,,,,,,retire
25,000000008000002c,00004381,3,0,x7,0000000000000000,,b00:000000000000003b;b02:000000000000001a,,,,,,retire
26,000000008000002e,0062c363,3,0,,,,b00:000000000000003c;b02:000000000000001b,,,,,,retire
27,0000000080000034,00004385,3,0,x7,0000000000000001,,b00:0000000000000049;b02:000000000000001c,,,,,,retire
28,0000000080000036,00743823,3,0,,,,b00:000000000000004a;b02:000000000000001d,0000000080002010,,0000000000000001,,ff,retire
29,000000008000003a,00004381,3,0,x7,0000000000000000,,b00:000000000000004b;b02:000000000000001e,,,,,,retire
30,000000008000003c,0062e363,3,0,,,,b00:000000000000004c;b02:000000000000001f,,,,,,retire
31,0000000080000040,00004385,3,0,x7,0000000000000001,,b00:000000000000004d;b02:0000000000000020,,,,,,retire
