order,pc,binary,mode,trap,rd,rd_value,instr,csr,mem_addr,mem_rdata,mem_wdata,mem_rmask,mem_wmask,event
0,0000000080000000,00002417,3,0,x8,0000000080002000,"auipc   s0, 0x2",,,,,,,retire
1,0000000080000004,00040413,3,0,x8,0000000080002000,"mv      s0, s0",,,,,,,retire
2,0000000080000008,00002297,3,0,x5,0000000080002008,"auipc   t0, 0x2",,,,,,,retire
3,000000008000000c,04028293,3,0,x5,0000000080002048,"addi    t0, t0, 64",,,,,,,retire
4,0000000080000010,00449337,3,0,x6,0000000000449000,"lui     t1, 0x449",,,,,,,retire
5,0000000080000014,8cd3031b,3,0,x6,00000000004488cd,"addiw   t1, t1, -1843",,,,,,,retire
6,0000000080000018,0000033a,3,0,x6,0000001122334000,"c.slli  t1, 14",,,,,,,retire
7,000000008000001a,45530313,3,0,x6,0000001122334455,"addi    t1, t1, 1109",,,,,,,retire
8,000000008000001e,00000332,3,0,x6,0001122334455000,"c.slli  t1, 12",,,,,,,retire
9,0000000080000020,66730313,3,0,x6,0001122334455667,"addi    t1, t1, 1639",,,,,,,retire
10,0000000080000024,00000332,3,0,x6,1122334455667000,"c.slli  t1, 12",,,,,,,retire
11,0000000080000026,78830313,3,0,x6,1122334455667788,"addi    t1, t1, 1928",,,,,,,retire
12,000000008000002a,0062b023,3,0,,,"sd      t1, 0(t0)",,0000000080002048,,1122334455667788,,,retire
13,000000008000002e,0002b383,3,0,x7,1122334455667788,"ld      t2, 0(t0)",,0000000080002048,,,,,retire
14,0000000080000032,00743023,3,0,,,"sd      t2, 0(s0)",,0000000080002000,,1122334455667788,,,retire
15,0000000080000036,00028383,3,0,x7,ffffffffffffff88,"lb      t2, 0(t0)",,0000000080002048,,,,,retire
16,000000008000003a,00743423,3,0,,,"sd      t2, 8(s0)",,0000000080002008,,ffffffffffffff88,,,retire
17,000000008000003e,0002c383,3,0,x7,0000000000000088,"lbu     t2, 0(t0)",,0000000080002048,,,,,retire
18,0000000080000042,00743823,3,0,,,"sd      t2, 16(s0)",,0000000080002010,,0000000000000088,,,retire
19,0000000080000046,00006321,3,0,x6,0000000000008000,"c.lui   t1, 0x8",,,,,,,retire
20,0000000080000048,00002305,3,0,x6,0000000000008001,"c.addiw t1, 1",,,,,,,retire
21,000000008000004a,00629023,3,0,,,"sh      t1, 0(t0)",,0000000080002048,,0000000000008001,,,retire
22,000000008000004e,00029383,3,0,x7,ffffffffffff8001,"lh      t2, 0(t0)",,0000000080002048,,,,,retire
23,0000000080000052,00743c23,3,0,,,"sd      t2, 24(s0)",,0000000080002018,,ffffffffffff8001,,,retire
24,0000000080000056,0002d383,3,0,x7,0000000000008001,"lhu     t2, 0(t0)",,0000000080002048,,,,,retire
25,000000008000005a,02743023,3,0,,,"sd      t2, 32(s0)",,0000000080002020,,0000000000008001,,,retire
26,000000008000005e,0010031b,3,0,x6,0000000000000001,"addiw   t1, zero, 1",,,,,,,retire
27,0000000080000062,0000037e,3,0,x6,0000000080000000,"c.slli  t1, 31",,,,,,,retire
28,0000000080000064,00000305,3,0,x6,0000000080000001,"c.addi  t1, 1",,,,,,,retire
29,0000000080000066,0062a023,3,0,,,"sw      t1, 0(t0)",,0000000080002048,,0000000080000001,,,retire
30,000000008000006a,0002a383,3,0,x7,ffffffff80000001,"lw      t2, 0(t0)",,0000000080002048,,,,,retire
31,000000008000006e,02743423,3,0,,,"sd      t2, 40(s0)",,0000000080002028,,ffffffff80000001,,,retire
32,0000000080000072,0002e383,3,0,x7,0000000080000001,"lwu     t2, 0(t0)",,0000000080002048,,,,,retire
33,0000000080000076,02743823,3,0,,,"sd      t2, 48(s0)",,0000000080002030,,0000000080000001,,,retire
34,000000008000007a,0aa00313,3,0,x6,00000000000000aa,"li      t1, 170",,,,,,,retire
35,000000008000007e,006280a3,3,0,,,"sb      t1, 1(t0)",,0000000080002049,,00000000000000aa,,,retire
36,0000000080000082,0002b383,3,0,x7,112233448000aa01,"ld      t2, 0(t0)",,0000000080002048,,,,,retire
37,0000000080000086,00000385,3,0,x7,112233448000aa02,"c.addi  t2, 1",,,,,,,retire
38,0000000080000088,02743c23,3,0,,,"sd      t2, 56(s0)",,0000000080002038,,112233448000aa02,,,retire
39,000000008000008c,0ff0000f,3,0,,,"fence   iorw,iorw",,,,,,,retire
40,0000000080000090,00004505,3,0,x10,0000000000000001,"c.li    a0, 1",,,,,,,retire
41,0000000080000092,00001597,3,0,x11,0000000080001092,"auipc   a1, 0x1",,,,,,,retire
42,0000000080000096,f6e58593,3,0,x11,0000000080001000,"addi    a1, a1, -146",,,,,,,retire
43,000000008000009a,0000c188,3,0,,,"c.sw    a0, 0(a1)",,0000000080001000,,0000000000000001,,,retire
