order,pc,binary,mode,trap,rd,rd_value,instr,csr,mem_addr,mem_rdata,mem_wdata,mem_rmask,mem_wmask,event
0,0000000080000000,00002417,3,0,x8,0000000080002000,,100:0000000200000000;300:0000000a00000000;301:800000000014112f;b00:000000000000000e;b02:0000000000000001;f13:0000000000000100,,,,,,retire
1,0000000080000004,00040413,3,0,x8,0000000080002000,,b00:000000000000000f;b02:0000000000000002,,,,,,retire
2,0000000080000008,00002297,3,0,x5,0000000080002008,,b00:0000000000000010;b02:0000000000000003,,,,,,retire
3,000000008000000c,04028293,3,0,x5,0000000080002048,,b00:0000000000000011;b02:0000000000000004,,,,,,retire
4,0000000080000010,00449337,3,0,x6,0000000000449000,,b00:0000000000000012;b02:0000000000000005,,,,,,retire
5,0000000080000014,8cd3031b,3,0,x6,00000000004488cd,,b00:0000000000000013;b02:0000000000000006,,,,,,retire
6,0000000080000018,0000033a,3,0,x6,0000001122334000,,b00:0000000000000014;b02:0000000000000007,,,,,,retire
7,000000008000001a,45530313,3,0,x6,0000001122334455,,b00:0000000000000015;b02:0000000000000008,,,,,,retire
8,000000008000001e,00000332,3,0,x6,0001122334455000,,b00:0000000000000016;b02:0000000000000009,,,,,,retire
9,0000000080000020,66730313,3,0,x6,0001122334455667,,b00:0000000000000017;b02:000000000000000a,,,,,,retire
10,0000000080000024,00000332,3,0,x6,1122334455667000,,b00:0000000000000018;b02:000000000000000b,,,,,,retire
11,0000000080000026,78830313,3,0,x6,1122334455667788,,b00:0000000000000023;b02:000000000000000c,,,,,,retire
12,000000008000002a,0062b023,3,0,,,,b00:0000000000000024;b02:000000000000000d,0000000080002048,,1122334455667788,,ff,retire
13,000000008000002e,0002b383,3,0,x7,1122334455667788,,b00:0000000000000026;b02:000000000000000e,0000000080002048,1122334455667788,,ff,,retire
14,0000000080000032,00743023,3,0,,,,b00:000000000000003d;b02:000000000000000f,0000000080002000,,1122334455667788,,ff,retire
15,0000000080000036,00028383,3,0,x7,ffffffffffffff88,,b00:000000000000003f;b02:0000000000000010,0000000080002048,ffffffffffffff88,,01,,retire
16,000000008000003a,00743423,3,0,,,,b00:0000000000000041;b02:0000000000000011,0000000080002008,,ffffffffffffff88,,ff,retire
17,000000008000003e,0002c383,3,0,x7,0000000000000088,,b00:0000000000000043;b02:0000000000000012,0000000080002048,0000000000000088,,01,,retire
18,0000000080000042,00743823,3,0,,,,b00:0000000000000045;b02:0000000000000013,0000000080002010,,0000000000000088,,ff,retire
19,0000000080000046,00006321,3,0,x6,0000000000008000,,b00:0000000000000046;b02:0000000000000014,,,,,,retire
20,0000000080000048,00002305,3,0,x6,0000000000008001,,b00:0000000000000047;b02:0000000000000015,,,,,,retire
21,000000008000004a,00629023,3,0,,,,b00:0000000000000048;b02:0000000000000016,0000000080002048,,0000000000008001,,03,retire
22,000000008000004e,00029383,3,0,x7,ffffffffffff8001,,b00:000000000000004a;b02:0000000000000017,0000000080002048,ffffffffffff8001,,03,,retire
23,0000000080000052,00743c23,3,0,,,,b00:000000000000004c;b02:0000000000000018,0000000080002018,,ffffffffffff8001,,ff,retire
24,0000000080000056,0002d383,3,0,x7,0000000000008001,,b00:000000000000004e;b02:0000000000000019,0000000080002048,0000000000008001,,03,,retire
25,000000008000005a,02743023,3,0,,,,b00:0000000000000050;b02:000000000000001a,0000000080002020,,0000000000008001,,ff,retire
26,000000008000005e,0010031b,3,0,x6,0000000000000001,,b00:0000000000000051;b02:000000000000001b,,,,,,retire
27,0000000080000062,0000037e,3,0,x6,0000000080000000,,b00:0000000000000052;b02:000000000000001c,,,,,,retire
28,0000000080000064,00000305,3,0,x6,0000000080000001,,b00:0000000000000053;b02:000000000000001d,,,,,,retire
29,0000000080000066,0062a023,3,0,,,,b00:0000000000000054;b02:000000000000001e,0000000080002048,,0000000080000001,,0f,retire
30,000000008000006a,0002a383,3,0,x7,ffffffff80000001,,b00:0000000000000056;b02:000000000000001f,0000000080002048,ffffffff80000001,,0f,,retire
31,000000008000006e,02743423,3,0,,,,b00:0000000000000058;b02:0000000000000020,0000000080002028,,ffffffff80000001,,ff,retire
32,0000000080000072,0002e383,3,0,x7,0000000080000001,,b00:0000000000000065;b02:0000000000000021,0000000080002048,0000000080000001,,0f,,retire
33,0000000080000076,02743823,3,0,,,,b00:0000000000000067;b02:0000000000000022,0000000080002030,,0000000080000001,,ff,retire
34,000000008000007a,0aa00313,3,0,x6,00000000000000aa,,b00:0000000000000068;b02:0000000000000023,,,,,,retire
35,000000008000007e,006280a3,3,0,,,,b00:0000000000000069;b02:0000000000000024,0000000080002049,,00000000000000aa,,01,retire
36,0000000080000082,0002b383,3,0,x7,112233448000aa01,,b00:000000000000006b;b02:0000000000000025,0000000080002048,112233448000aa01,,ff,,retire
37,0000000080000086,00000385,3,0,x7,112233448000aa02,,b00:000000000000006d;b02:0000000000000026,,,,,,retire
38,0000000080000088,02743c23,3,0,,,,b00:000000000000006e;b02:0000000000000027,0000000080002038,,112233448000aa02,,ff,retire
39,000000008000008c,0ff0000f,3,0,,,,b00:000000000000006f;b02:0000000000000028,,,,,,retire
40,0000000080000090,00004505,3,0,x10,0000000000000001,,b00:0000000000000073;b02:0000000000000029,,,,,,retire
41,0000000080000092,00001597,3,0,x11,0000000080001092,,b00:0000000000000074;b02:000000000000002a,,,,,,retire
42,0000000080000096,f6e58593,3,0,x11,0000000080001000,,b00:000000000000007f;b02:000000000000002b,,,,,,retire
43,000000008000009a,0000c188,3,0,,,,b00:0000000000000080;b02:000000000000002c,0000000080001000,,0000000000000001,,0f,retire
