order,pc,binary,mode,trap,rd,rd_value,instr,csr,mem_addr,mem_rdata,mem_wdata,mem_rmask,mem_wmask,event
0,0000000080000000,00002417,3,0,x8,0000000080002000,,100:0000000200000000;300:0000000a00000000;301:800000000014112f;b00:000000000000000e;b02:0000000000000001;f13:0000000000000100,,,,,,retire
1,0000000080000004,00040413,3,0,x8,0000000080002000,,b00:000000000000000f;b02:0000000000000002,,,,,,retire
2,0000000080000008,000052e5,3,0,x5,fffffffffffffff9,,b00:0000000000000010;b02:0000000000000003,,,,,,retire
3,000000008000000a,0000430d,3,0,x6,0000000000000003,,b00:0000000000000011;b02:0000000000000004,,,,,,retire
4,000000008000000c,026283b3,3,0,x7,ffffffffffffffeb,,b00:0000000000000012;b02:0000000000000005,,,,,,retire
5,0000000080000010,00743023,3,0,,,,b00:000000000000001e;b02:0000000000000006,0000000080002000,,ffffffffffffffeb,,ff,retire
6,0000000080000014,0262c3b3,3,0,x7,fffffffffffffffe,,b00:0000000000000021;b02:0000000000000007,,,,,,retire
7,0000000080000018,00743423,3,0,,,,b00:0000000000000023;b02:0000000000000008,0000000080002008,,fffffffffffffffe,,ff,retire
8,000000008000001c,0262e3b3,3,0,x7,ffffffffffffffff,,b00:0000000000000026;b02:0000000000000009,,,,,,retire
9,0000000080000020,00743823,3,0,,,,b00:0000000000000028;b02:000000000000000a,0000000080002010,,ffffffffffffffff,,ff,retire
10,0000000080000024,000052fd,3,0,x5,ffffffffffffffff,,b00:0000000000000029;b02:000000000000000b,,,,,,retire
11,0000000080000026,00004309,3,0,x6,0000000000000002,,b00:000000000000002a;b02:000000000000000c,,,,,,retire
12,0000000080000028,0262b3b3,3,0,x7,0000000000000001,,b00:000000000000002b;b02:000000000000000d,,,,,,retire
13,000000008000002c,00743c23,3,0,,,,b00:000000000000002d;b02:000000000000000e,0000000080002018,,0000000000000001,,ff,retire
14,0000000080000030,026293b3,3,0,x7,ffffffffffffffff,,b00:000000000000002e;b02:000000000000000f,,,,,,retire
15,0000000080000034,02743023,3,0,,,,b00:000000000000003a;b02:0000000000000010,0000000080002020,,ffffffffffffffff,,ff,retire
16,0000000080000038,07b00293,3,0,x5,000000000000007b,,b00:000000000000003b;b02:0000000000000011,,,,,,retire
17,000000008000003c,0202c3b3,3,0,x7,ffffffffffffffff,,b00:000000000000003d;b02:0000000000000012,,,,,,retire
18,0000000080000040,02743423,3,0,,,,b00:000000000000003f;b02:0000000000000013,0000000080002028,,ffffffffffffffff,,ff,retire
19,0000000080000044,0202e3b3,3,0,x7,000000000000007b,,b00:0000000000000041;b02:0000000000000014,,,,,,retire
20,0000000080000048,02743823,3,0,,,,b00:0000000000000043;b02:0000000000000015,0000000080002030,,000000000000007b,,ff,retire
21,000000008000004c,fff0029b,3,0,x5,ffffffffffffffff,,b00:0000000000000044;b02:0000000000000016,,,,,,retire
22,0000000080000050,000012fe,3,0,x5,8000000000000000,,b00:0000000000000045;b02:0000000000000017,,,,,,retire
23,0000000080000052,0000537d,3,0,x6,ffffffffffffffff,,b00:0000000000000046;b02:0000000000000018,,,,,,retire
24,0000000080000054,0262c3b3,3,0,x7,8000000000000000,,b00:000000000000004b;b02:0000000000000019,,,,,,retire
25,0000000080000058,02743c23,3,0,,,,b00:000000000000004d;b02:000000000000001a,0000000080002038,,8000000000000000,,ff,retire
26,000000008000005c,0ff0000f,3,0,,,,b00:000000000000004e;b02:000000000000001b,,,,,,retire
27,0000000080000060,00004505,3,0,x10,0000000000000001,,b00:0000000000000052;b02:000000000000001c,,,,,,retire
28,0000000080000062,00001597,3,0,x11,0000000080001062,,b00:0000000000000053;b02:000000000000001d,,,,,,retire
29,0000000080000066,f9e58593,3,0,x11,0000000080001000,,b00:000000000000005e;b02:000000000000001e,,,,,,retire
30,000000008000006a,0000c188,3,0,,,,b00:000000000000005f;b02:000000000000001f,0000000080001000,,0000000000000001,,0f,retire
