order,pc,binary,mode,trap,rd,rd_value,instr,csr,mem_addr,mem_rdata,mem_wdata,mem_rmask,mem_wmask,event
0,0000000080000000,00002417,3,0,x8,0000000080002000,"auipc   s0, 0x2",,,,,,,retire
1,0000000080000004,00040413,3,0,x8,0000000080002000,"mv      s0, s0",,,,,,,retire
2,0000000080000008,00004295,3,0,x5,0000000000000005,"c.li    t0, 5",,,,,,,retire
3,000000008000000a,00004301,3,0,x6,0000000000000000,"c.li    t1, 0",,,,,,,retire
4,000000008000000c,00009316,3,0,x6,0000000000000005,"c.add   t1, t0",,,,,,,retire
5,000000008000000e,000012fd,3,0,x5,0000000000000004,"c.addi  t0, -1",,,,,,,retire
6,0000000080000010,fe029ee3,3,0,,,"bnez    t0, -4",,,,,,,retire
7,000000008000000c,00009316,3,0,x6,0000000000000009,"c.add   t1, t0",,,,,,,retire
8,000000008000000e,000012fd,3,0,x5,0000000000000003,"c.addi  t0, -1",,,,,,,retire
9,0000000080000010,fe029ee3,3,0,,,"bnez    t0, -4",,,,,,,retire
10,000000008000000c,00009316,3,0,x6,000000000000000c,"c.add   t1, t0",,,,,,,retire
11,000000008000000e,000012fd,3,0,x5,0000000000000002,"c.addi  t0, -1",,,,,,,retire
12,0000000080000010,fe029ee3,3,0,,,"bnez    t0, -4",,,,,,,retire
13,000000008000000c,00009316,3,0,x6,000000000000000e,"c.add   t1, t0",,,,,,,retire
14,000000008000000e,000012fd,3,0,x5,0000000000000001,"c.addi  t0, -1",,,,,,,retire
15,0000000080000010,fe029ee3,3,0,,,"bnez    t0, -4",,,,,,,retire
16,000000008000000c,00009316,3,0,x6,000000000000000f,"c.add   t1, t0",,,,,,,retire
17,000000008000000e,000012fd,3,0,x5,0000000000000000,"c.addi  t0, -1",,,,,,,retire
18,0000000080000010,fe029ee3,3,0,,,"bnez    t0, -4",,,,,,,retire
19,0000000080000014,00643023,3,0,,,"sd      t1, 0(s0)",,0000000080002000,,000000000000000f,,,retire
20,0000000080000018,02a00393,3,0,x7,000000000000002a,"li      t2, 42",,,,,,,retire
21,000000008000001c,00028463,3,0,,,"beqz    t0, 8",,,,,,,retire
22,0000000080000024,00743423,3,0,,,"sd      t2, 8(s0)",,0000000080002008,,000000000000002a,,,retire
23,0000000080000028,000052fd,3,0,x5,ffffffffffffffff,"c.li    t0, -1",,,,,,,retire
24,000000008000002a,00004305,3,0,x6,0000000000000001,"c.li    t1, 1",,,,,,,retire
25,000000008000002c,00004381,3,0,x7,0000000000000000,"c.li    t2, 0",,,,,,,retire
26,000000008000002e,0062c363,3,0,,,"blt     t0, t1, 6",,,,,,,retire
27,0000000080000034,00004385,3,0,x7,0000000000000001,"c.li    t2, 1",,,,,,,retire
28,0000000080000036,00743823,3,0,,,"sd      t2, 16(s0)",,0000000080002010,,0000000000000001,,,retire
29,000000008000003a,00004381,3,0,x7,0000000000000000,"c.li    t2, 0",,,,,,,retire
30,000000008000003c,0062e363,3,0,,,"bltu    t0, t1, 6",,,,,,,retire
31,0000000080000040,00004385,3,0,x7,0000000000000001,"c.li    t2, 1",,,,,,,retire
32,0000000080000042,00743c23,3,0,,,"sd      t2, 24(s0)",,0000000080002018,,0000000000000001,,,retire
33,0000000080000046,022000ef,3,0,x1,000000008000004a,jal     0x22,,,,,,,retire
34,0000000080000068,04d00e13,3,0,x28,000000000000004d,"li      t3, 77",,,,,,,retire
35,000000008000006c,00008082,3,0,,,ret,,,,,,,retire
36,000000008000004a,03c43023,3,0,,,"sd      t3, 32(s0)",,0000000080002020,,000000000000004d,,,retire
37,000000008000004e,00004ea5,3,0,x29,0000000000000009,"c.li    t4, 9",,,,,,,retire
38,0000000080000050,001e8013,3,0,,,"addi    zero, t4, 1",,,,,,,retire
39,0000000080000054,000083f6,3,0,x7,0000000000000009,"c.mv    t2, t4",,,,,,,retire
40,0000000080000056,02743423,3,0,,,"sd      t2, 40(s0)",,0000000080002028,,0000000000000009,,,retire
41,000000008000005a,02043823,3,0,,,"sd      zero, 48(s0)",,0000000080002030,,0000000000000000,,,retire
42,000000008000005e,07b00393,3,0,x7,000000000000007b,"li      t2, 123",,,,,,,retire
43,0000000080000062,02743c23,3,0,,,"sd      t2, 56(s0)",,0000000080002038,,000000000000007b,,,retire
44,0000000080000066,0000a021,3,0,,,c.j     8,,,,,,,retire
45,000000008000006e,0ff0000f,3,0,,,"fence   iorw,iorw",,,,,,,retire
46,0000000080000072,00004505,3,0,x10,0000000000000001,"c.li    a0, 1",,,,,,,retire
47,0000000080000074,00001597,3,0,x11,0000000080001074,"auipc   a1, 0x1",,,,,,,retire
48,0000000080000078,f8c58593,3,0,x11,0000000080001000,"addi    a1, a1, -116",,,,,,,retire
49,000000008000007c,0000c188,3,0,,,"c.sw    a0, 0(a1)",,0000000080001000,,0000000000000001,,,retire
