order,pc,binary,mode,trap,rd,rd_value,instr,csr,mem_addr,mem_rdata,mem_wdata,mem_rmask,mem_wmask,event
0,0000000080000000,00002417,3,0,x8,0000000080002000,,100:0000000200000000;300:0000000a00000000;301:800000000014112f;b00:000000000000000e;b02:0000000000000001;f13:0000000000000100,,,,,,retire
1,0000000080000004,00040413,3,0,x8,0000000080002000,,b00:000000000000000f;b02:0000000000000002,,,,,,retire
2,0000000080000008,00004295,3,0,x5,0000000000000005,,b00:0000000000000010;b02:0000000000000003,,,,,,retire
3,000000008000000a,0000431d,3,0,x6,0000000000000007,,b00:0000000000000011;b02:0000000000000004,,,,,,retire
4,000000008000000c,006283b3,3,0,x7,000000000000000c,,b00:000000000000001c;b02:0000000000000005,,,,,,retire
5,0000000080000010,00743023,3,0,,,,b00:000000000000001d;b02:0000000000000006,0000000080002000,,000000000000000c,,ff,retire
6,0000000080000014,406283b3,3,0,x7,fffffffffffffffe,,b00:000000000000001e;b02:0000000000000007,,,,,,retire
7,0000000080000018,00743423,3,0,,,,b00:000000000000001f;b02:0000000000000008,0000000080002008,,fffffffffffffffe,,ff,retire
8,000000008000001c,05500293,3,0,x5,0000000000000055,,b00:0000000000000020;b02:0000000000000009,,,,,,retire
9,0000000080000020,0000433d,3,0,x6,000000000000000f,,b00:0000000000000021;b02:000000000000000a,,,,,,retire
10,0000000080000022,0062c3b3,3,0,x7,000000000000005a,,b00:0000000000000022;b02:000000000000000b,,,,,,retire
11,0000000080000026,00743823,3,0,,,,b00:0000000000000023;b02:000000000000000c,0000000080002010,,000000000000005a,,ff,retire
12,000000008000002a,0062f3b3,3,0,x7,0000000000000005,,b00:0000000000000024;b02:000000000000000d,,,,,,retire
13,000000008000002e,00743c23,3,0,,,,b00:0000000000000025;b02:000000000000000e,0000000080002018,,0000000000000005,,ff,retire
14,0000000080000032,0062e3b3,3,0,x7,000000000000005f,,b00:0000000000000030;b02:000000000000000f,,,,,,retire
15,0000000080000036,02743023,3,0,,,,b00:0000000000000031;b02:0000000000000010,0000000080002020,,000000000000005f,,ff,retire
16,000000008000003a,000052c1,3,0,x5,fffffffffffffff0,,b00:0000000000000032;b02:0000000000000011,,,,,,retire
17,000000008000003c,4022d393,3,0,x7,fffffffffffffffc,,b00:0000000000000033;b02:0000000000000012,,,,,,retire
18,0000000080000040,02743423,3,0,,,,b00:0000000000000034;b02:0000000000000013,0000000080002028,,fffffffffffffffc,,ff,retire
19,0000000080000044,03c2d393,3,0,x7,000000000000000f,,b00:0000000000000035;b02:0000000000000014,,,,,,retire
20,0000000080000048,02743823,3,0,,,,b00:0000000000000036;b02:0000000000000015,0000000080002030,,000000000000000f,,ff,retire
21,000000008000004c,800002b7,3,0,x5,ffffffff80000000,,b00:0000000000000037;b02:0000000000000016,,,,,,retire
22,0000000080000050,000032fd,3,0,x5,000000007fffffff,,b00:0000000000000038;b02:0000000000000017,,,,,,retire
23,0000000080000052,0012839b,3,0,x7,ffffffff80000000,,b00:0000000000000039;b02:0000000000000018,,,,,,retire
24,0000000080000056,02743c23,3,0,,,,b00:000000000000003a;b02:0000000000000019,0000000080002038,,ffffffff80000000,,ff,retire
25,000000008000005a,0ff0000f,3,0,,,,b00:000000000000003b;b02:000000000000001a,,,,,,retire
26,000000008000005e,00004505,3,0,x10,0000000000000001,,b00:000000000000003f;b02:000000000000001b,,,,,,retire
27,0000000080000060,00001597,3,0,x11,0000000080001060,,b00:0000000000000040;b02:000000000000001c,,,,,,retire
28,0000000080000064,fa058593,3,0,x11,0000000080001000,,b00:000000000000004b;b02:000000000000001d,,,,,,retire
29,0000000080000068,0000c188,3,0,,,,b00:000000000000004c;b02:000000000000001e,0000000080001000,,0000000000000001,,0f,retire
