order,pc,binary,mode,trap,rd,rd_value,instr,csr,mem_addr,mem_rdata,mem_wdata,mem_rmask,mem_wmask,event
0,0000000080000000,00002417,3,0,x8,0000000080002000,"auipc   s0, 0x2",,,,,,,retire
1,0000000080000004,00040413,3,0,x8,0000000080002000,"mv      s0, s0",,,,,,,retire
2,0000000080000008,000052e5,3,0,x5,fffffffffffffff9,"c.li    t0, -7",,,,,,,retire
3,000000008000000a,0000430d,3,0,x6,0000000000000003,"c.li    t1, 3",,,,,,,retire
4,000000008000000c,026283b3,3,0,x7,ffffffffffffffeb,"mul     t2, t0, t1",,,,,,,retire
5,0000000080000010,00743023,3,0,,,"sd      t2, 0(s0)",,0000000080002000,,ffffffffffffffeb,,,retire
6,0000000080000014,0262c3b3,3,0,x7,fffffffffffffffe,"div     t2, t0, t1",,,,,,,retire
7,0000000080000018,00743423,3,0,,,"sd      t2, 8(s0)",,0000000080002008,,fffffffffffffffe,,,retire
8,000000008000001c,0262e3b3,3,0,x7,ffffffffffffffff,"rem     t2, t0, t1",,,,,,,retire
9,0000000080000020,00743823,3,0,,,"sd      t2, 16(s0)",,0000000080002010,,ffffffffffffffff,,,retire
10,0000000080000024,000052fd,3,0,x5,ffffffffffffffff,"c.li    t0, -1",,,,,,,retire
11,0000000080000026,00004309,3,0,x6,0000000000000002,"c.li    t1, 2",,,,,,,retire
12,0000000080000028,0262b3b3,3,0,x7,0000000000000001,"mulhu   t2, t0, t1",,,,,,,retire
13,000000008000002c,00743c23,3,0,,,"sd      t2, 24(s0)",,0000000080002018,,0000000000000001,,,retire
14,0000000080000030,026293b3,3,0,x7,ffffffffffffffff,"mulh    t2, t0, t1",,,,,,,retire
15,0000000080000034,02743023,3,0,,,"sd      t2, 32(s0)",,0000000080002020,,ffffffffffffffff,,,retire
16,0000000080000038,07b00293,3,0,x5,000000000000007b,"li      t0, 123",,,,,,,retire
17,000000008000003c,0202c3b3,3,0,x7,ffffffffffffffff,"div     t2, t0, zero",,,,,,,retire
18,0000000080000040,02743423,3,0,,,"sd      t2, 40(s0)",,0000000080002028,,ffffffffffffffff,,,retire
19,0000000080000044,0202e3b3,3,0,x7,000000000000007b,"rem     t2, t0, zero",,,,,,,retire
20,0000000080000048,02743823,3,0,,,"sd      t2, 48(s0)",,0000000080002030,,000000000000007b,,,retire
21,000000008000004c,fff0029b,3,0,x5,ffffffffffffffff,"addiw   t0, zero, -1",,,,,,,retire
22,0000000080000050,000012fe,3,0,x5,8000000000000000,"c.slli  t0, 63",,,,,,,retire
23,0000000080000052,0000537d,3,0,x6,ffffffffffffffff,"c.li    t1, -1",,,,,,,retire
24,0000000080000054,0262c3b3,3,0,x7,8000000000000000,"div     t2, t0, t1",,,,,,,retire
25,0000000080000058,02743c23,3,0,,,"sd      t2, 56(s0)",,0000000080002038,,8000000000000000,,,retire
26,000000008000005c,0ff0000f,3,0,,,"fence   iorw,iorw",,,,,,,retire
27,0000000080000060,00004505,3,0,x10,0000000000000001,"c.li    a0, 1",,,,,,,retire
28,0000000080000062,00001597,3,0,x11,0000000080001062,"auipc   a1, 0x1",,,,,,,retire
29,0000000080000066,f9e58593,3,0,x11,0000000080001000,"addi    a1, a1, -98",,,,,,,retire
30,000000008000006a,0000c188,3,0,,,"c.sw    a0, 0(a1)",,0000000080001000,,0000000000000001,,,retire
