order,pc,binary,mode,trap,rd,rd_value,instr,csr,mem_addr,mem_rdata,mem_wdata,mem_rmask,mem_wmask,event
0,0000000080000000,00000297,3,0,x5,0000000080000000,,100:0000000200000000;300:0000000a00000000;301:800000000014112f;b00:000000000000000e;b02:0000000000000001;f13:0000000000000100,,,,,,retire
1,0000000080000004,06828293,3,0,x5,0000000080000068,,b00:000000000000000f;b02:0000000000000002,,,,,,retire
2,0000000080000008,30529073,3,0,,,,305:0000000080000068;b00:0000000000000010;b02:0000000000000003,,,,,,retire
3,000000008000000c,00004295,3,0,x5,0000000000000005,,b00:0000000000000014;b02:0000000000000004,,,,,,retire
4,000000008000000e,0000431d,3,0,x6,0000000000000007,,b00:0000000000000015;b02:0000000000000005,,,,,,retire
5,0000000080000010,006283b3,3,0,x7,000000000000000c,,b00:0000000000000016;b02:0000000000000006,,,,,,retire
6,0000000080000014,00002e17,3,0,x28,0000000080002014,,b00:0000000000000017;b02:0000000000000007,,,,,,retire
7,0000000080000018,fece0e13,3,0,x28,0000000080002000,,b00:0000000000000022;b02:0000000000000008,,,,,,retire
8,000000008000001c,007e3023,3,0,,,,b00:0000000000000023;b02:0000000000000009,0000000080002000,,000000000000000c,,ff,retire
9,0000000080000020,000e3e83,3,0,x29,000000000000000c,,b00:0000000000000025;b02:000000000000000a,0000000080002000,000000000000000c,,ff,,retire
10,0000000080000024,00000e85,3,0,x29,000000000000000d,,b00:0000000000000027;b02:000000000000000b,,,,,,retire
11,0000000080000026,027e8b63,3,0,,,,b00:0000000000000028;b02:000000000000000c,,,,,,retire
12,000000008000002a,0000a019,3,0,,,,b00:0000000000000029;b02:000000000000000d,,,,,,retire
13,0000000080000030,0000430d,3,0,x6,0000000000000003,,b00:000000000000002c;b02:000000000000000e,,,,,,retire
14,0000000080000032,0000137d,3,0,x6,0000000000000002,,b00:000000000000002d;b02:000000000000000f,,,,,,retire
15,0000000080000034,fe031fe3,3,0,,,,b00:000000000000002e;b02:0000000000000010,,,,,,retire
16,0000000080000032,0000137d,3,0,x6,0000000000000001,,b00:0000000000000031;b02:0000000000000011,,,,,,retire
17,0000000080000034,fe031fe3,3,0,,,,b00:0000000000000032;b02:0000000000000012,,,,,,retire
18,0000000080000032,0000137d,3,0,x6,0000000000000000,,b00:0000000000000035;b02:0000000000000013,,,,,,retire
19,0000000080000034,fe031fe3,3,0,,,,b00:0000000000000040;b02:0000000000000014,,,,,,retire
20,0000000080000038,00000001,3,0,,,,b00:0000000000000041;b02:0000000000000015,,,,,,retire
21,000000008000003a,00000073,3,1,,,,300:0000000a00001800;341:000000008000003a;342:000000000000000b;b00:0000000000000042,,,,,,exception
22,0000000080000068,34102f73,3,0,x30,000000008000003a,,b00:0000000000000046;b02:0000000000000016,,,,,,retire
23,000000008000006c,00000f11,3,0,x30,000000008000003e,,b00:0000000000000048;b02:0000000000000017,,,,,,retire
24,000000008000006e,341f1073,3,0,,,,341:000000008000003e;b00:0000000000000049;b02:0000000000000018,,,,,,retire
25,0000000080000072,30200073,3,0,,,,300:0000000a00000080;b00:000000000000004d;b02:0000000000000019,,,,,,retire
26,000000008000003e,00004331,3,0,x6,000000000000000c,,b00:0000000000000051;b02:000000000000001a,,,,,,retire
27,0000000080000040,00639e63,3,0,,,,b00:0000000000000052;b02:000000000000001b,,,,,,retire
28,0000000080000044,007e3023,3,0,,,,b00:0000000000000053;b02:000000000000001c,0000000080002000,,000000000000000c,,ff,retire
29,0000000080000048,0ff0000f,3,0,,,,b00:0000000000000054;b02:000000000000001d,,,,,,retire
30,000000008000004c,00004285,3,0,x5,0000000000000001,,b00:0000000000000058;b02:000000000000001e,,,,,,retire
31,000000008000004e,00001317,3,0,x6,000000008000104e,,b00:0000000000000059;b02:000000000000001f,,,,,,retire
32,0000000080000052,fb230313,3,0,x6,0000000080001000,,b00:0000000000000064;b02:0000000000000020,,,,,,retire
33,0000000080000056,00532023,3,0,,,,b00:0000000000000065;b02:0000000000000021,0000000080001000,,0000000000000001,,0f,retire
