order,pc,binary,mode,trap,rd,rd_value,instr,csr,mem_addr,mem_rdata,mem_wdata,mem_rmask,mem_wmask,event
0,0000000080000000,00002417,3,0,x8,0000000080002000,"auipc   s0, 0x2",,,,,,,retire
1,0000000080000004,00040413,3,0,x8,0000000080002000,"mv      s0, s0",,,,,,,retire
2,0000000080000008,00004295,3,0,x5,0000000000000005,"c.li    t0, 5",,,,,,,retire
3,000000008000000a,0000431d,3,0,x6,0000000000000007,"c.li    t1, 7",,,,,,,retire
4,000000008000000c,006283b3,3,0,x7,000000000000000c,"add     t2, t0, t1",,,,,,,retire
5,0000000080000010,00743023,3,0,,,"sd      t2, 0(s0)",,0000000080002000,,000000000000000c,,,retire
6,0000000080000014,406283b3,3,0,x7,fffffffffffffffe,"sub     t2, t0, t1",,,,,,,retire
7,0000000080000018,00743423,3,0,,,"sd      t2, 8(s0)",,0000000080002008,,fffffffffffffffe,,,retire
8,000000008000001c,05500293,3,0,x5,0000000000000055,"li      t0, 85",,,,,,,retire
9,0000000080000020,0000433d,3,0,x6,000000000000000f,"c.li    t1, 15",,,,,,,retire
10,0000000080000022,0062c3b3,3,0,x7,000000000000005a,"xor     t2, t0, t1",,,,,,,retire
11,0000000080000026,00743823,3,0,,,"sd      t2, 16(s0)",,0000000080002010,,000000000000005a,,,retire
12,000000008000002a,0062f3b3,3,0,x7,0000000000000005,"and     t2, t0, t1",,,,,,,retire
13,000000008000002e,00743c23,3,0,,,"sd      t2, 24(s0)",,0000000080002018,,0000000000000005,,,retire
14,0000000080000032,0062e3b3,3,0,x7,000000000000005f,"or      t2, t0, t1",,,,,,,retire
15,0000000080000036,02743023,3,0,,,"sd      t2, 32(s0)",,0000000080002020,,000000000000005f,,,retire
16,000000008000003a,000052c1,3,0,x5,fffffffffffffff0,"c.li    t0, -16",,,,,,,retire
17,000000008000003c,4022d393,3,0,x7,fffffffffffffffc,"srai    t2, t0, 2",,,,,,,retire
18,0000000080000040,02743423,3,0,,,"sd      t2, 40(s0)",,0000000080002028,,fffffffffffffffc,,,retire
19,0000000080000044,03c2d393,3,0,x7,000000000000000f,"srli    t2, t0, 60",,,,,,,retire
20,0000000080000048,02743823,3,0,,,"sd      t2, 48(s0)",,0000000080002030,,000000000000000f,,,retire
21,000000008000004c,800002b7,3,0,x5,ffffffff80000000,"lui     t0, 0x80000",,,,,,,retire
22,0000000080000050,000032fd,3,0,x5,000000007fffffff,"c.addiw t0, -1",,,,,,,retire
23,0000000080000052,0012839b,3,0,x7,ffffffff80000000,"addiw   t2, t0, 1",,,,,,,retire
24,0000000080000056,02743c23,3,0,,,"sd      t2, 56(s0)",,0000000080002038,,ffffffff80000000,,,retire
25,000000008000005a,0ff0000f,3,0,,,"fence   iorw,iorw",,,,,,,retire
26,000000008000005e,00004505,3,0,x10,0000000000000001,"c.li    a0, 1",,,,,,,retire
27,0000000080000060,00001597,3,0,x11,0000000080001060,"auipc   a1, 0x1",,,,,,,retire
28,0000000080000064,fa058593,3,0,x11,0000000080001000,"addi    a1, a1, -96",,,,,,,retire
29,0000000080000068,0000c188,3,0,,,"c.sw    a0, 0(a1)",,0000000080001000,,0000000000000001,,,retire
