order,pc,binary,mode,trap,rd,rd_value,instr,csr,mem_addr,mem_rdata,mem_wdata,mem_rmask,mem_wmask,event
0,0000000080000000,00000297,3,0,x5,0000000080000000,"auipc   t0, 0x0",,,,,,,retire
1,0000000080000004,06828293,3,0,x5,0000000080000068,"addi    t0, t0, 104",,,,,,,retire
2,0000000080000008,30529073,3,0,,,"csrw    mtvec, t0",,,,,,,retire
3,000000008000000c,00004295,3,0,x5,0000000000000005,"c.li    t0, 5",,,,,,,retire
4,000000008000000e,0000431d,3,0,x6,0000000000000007,"c.li    t1, 7",,,,,,,retire
5,0000000080000010,006283b3,3,0,x7,000000000000000c,"add     t2, t0, t1",,,,,,,retire
6,0000000080000014,00002e17,3,0,x28,0000000080002014,"auipc   t3, 0x2",,,,,,,retire
7,0000000080000018,fece0e13,3,0,x28,0000000080002000,"addi    t3, t3, -20",,,,,,,retire
8,000000008000001c,007e3023,3,0,,,"sd      t2, 0(t3)",,0000000080002000,,000000000000000c,,,retire
9,0000000080000020,000e3e83,3,0,x29,000000000000000c,"ld      t4, 0(t3)",,0000000080002000,,,,,retire
10,0000000080000024,00000e85,3,0,x29,000000000000000d,"c.addi  t4, 1",,,,,,,retire
11,0000000080000026,027e8b63,3,0,,,"beq     t4, t2, 54",,,,,,,retire
12,000000008000002a,0000a019,3,0,,,c.j     6,,,,,,,retire
13,0000000080000030,0000430d,3,0,x6,0000000000000003,"c.li    t1, 3",,,,,,,retire
14,0000000080000032,0000137d,3,0,x6,0000000000000002,"c.addi  t1, -1",,,,,,,retire
15,0000000080000034,fe031fe3,3,0,,,"bnez    t1, -2",,,,,,,retire
16,0000000080000032,0000137d,3,0,x6,0000000000000001,"c.addi  t1, -1",,,,,,,retire
17,0000000080000034,fe031fe3,3,0,,,"bnez    t1, -2",,,,,,,retire
18,0000000080000032,0000137d,3,0,x6,0000000000000000,"c.addi  t1, -1",,,,,,,retire
19,0000000080000034,fe031fe3,3,0,,,"bnez    t1, -2",,,,,,,retire
20,0000000080000038,00000001,3,0,,,c.nop,,,,,,,retire
21,000000008000003a,00000073,,1,,,ecall,,,,,,,exception
22,0000000080000068,34102f73,3,0,x30,000000008000003a,"csrr    t5, mepc",,,,,,,retire
23,000000008000006c,00000f11,3,0,x30,000000008000003e,"c.addi  t5, 4",,,,,,,retire
24,000000008000006e,341f1073,3,0,,,"csrw    mepc, t5",,,,,,,retire
25,0000000080000072,30200073,3,0,,,mret,,,,,,,retire
26,000000008000003e,00004331,3,0,x6,000000000000000c,"c.li    t1, 12",,,,,,,retire
27,0000000080000040,00639e63,3,0,,,"bne     t2, t1, 28",,,,,,,retire
28,0000000080000044,007e3023,3,0,,,"sd      t2, 0(t3)",,0000000080002000,,000000000000000c,,,retire
29,0000000080000048,0ff0000f,3,0,,,"fence   iorw,iorw",,,,,,,retire
30,000000008000004c,00004285,3,0,x5,0000000000000001,"c.li    t0, 1",,,,,,,retire
31,000000008000004e,00001317,3,0,x6,000000008000104e,"auipc   t1, 0x1",,,,,,,retire
32,0000000080000052,fb230313,3,0,x6,0000000080001000,"addi    t1, t1, -78",,,,,,,retire
33,0000000080000056,00532023,3,0,,,"sw      t0, 0(t1)",,0000000080001000,,0000000000000001,,,retire
